match_number,stage,group,matchday,date,venue_id,home_team_id,away_team_id,simultaneous_key
1,GROUP,A,1,2026-06-11,mexico-city,mexico,south-africa,
2,GROUP,A,1,2026-06-11,guadalajara,korea-republic,czechia,
3,GROUP,B,1,2026-06-12,toronto,canada,bosnia-and-herzegovina,
4,GROUP,D,1,2026-06-12,los-angeles,united-states,paraguay,
5,GROUP,C,1,2026-06-13,boston,haiti,scotland,
6,GROUP,D,1,2026-06-13,vancouver,australia,turkiye,
7,GROUP,C,1,2026-06-13,new-york-new-jersey,brazil,morocco,
8,GROUP,B,1,2026-06-13,san-francisco-bay-area,qatar,switzerland,
9,GROUP,E,1,2026-06-14,philadelphia,cote-divoire,ecuador,
10,GROUP,E,1,2026-06-14,houston,germany,curacao,
11,GROUP,F,1,2026-06-14,dallas,netherlands,japan,
12,GROUP,F,1,2026-06-14,monterrey,sweden,tunisia,
13,GROUP,H,1,2026-06-15,miami,saudi-arabia,uruguay,
14,GROUP,H,1,2026-06-15,atlanta,spain,cabo-verde,
15,GROUP,G,1,2026-06-15,los-angeles,iran,new-zealand,
16,GROUP,G,1,2026-06-15,seattle,belgium,egypt,
17,GROUP,I,1,2026-06-16,new-york-new-jersey,france,senegal,
18,GROUP,I,1,2026-06-16,boston,iraq,norway,
19,GROUP,J,1,2026-06-16,kansas-city,argentina,algeria,
20,GROUP,J,1,2026-06-16,san-francisco-bay-area,austria,jordan,
21,GROUP,L,1,2026-06-17,toronto,ghana,panama,
22,GROUP,L,1,2026-06-17,dallas,england,croatia,
23,GROUP,K,1,2026-06-17,houston,portugal,congo-dr,
24,GROUP,K,1,2026-06-17,mexico-city,uzbekistan,colombia,
25,GROUP,A,2,2026-06-18,atlanta,czechia,south-africa,
26,GROUP,B,2,2026-06-18,los-angeles,switzerland,bosnia-and-herzegovina,
27,GROUP,B,2,2026-06-18,vancouver,canada,qatar,
28,GROUP,A,2,2026-06-18,guadalajara,mexico,korea-republic,
29,GROUP,C,2,2026-06-19,philadelphia,brazil,haiti,
30,GROUP,C,2,2026-06-19,boston,scotland,morocco,
31,GROUP,D,2,2026-06-19,san-francisco-bay-area,turkiye,paraguay,
32,GROUP,D,2,2026-06-19,seattle,united-states,australia,
33,GROUP,E,2,2026-06-20,toronto,germany,cote-divoire,
34,GROUP,E,2,2026-06-20,kansas-city,ecuador,curacao,
35,GROUP,F,2,2026-06-20,houston,netherlands,sweden,
36,GROUP,F,2,2026-06-20,monterrey,tunisia,japan,
37,GROUP,H,2,2026-06-21,miami,uruguay,cabo-verde,
38,GROUP,H,2,2026-06-21,atlanta,spain,saudi-arabia,
39,GROUP,G,2,2026-06-21,los-angeles,belgium,iran,
40,GROUP,G,2,2026-06-21,vancouver,new-zealand,egypt,
41,GROUP,I,2,2026-06-22,new-york-new-jersey,norway,senegal,
42,GROUP,I,2,2026-06-22,philadelphia,france,iraq,
43,GROUP,J,2,2026-06-22,dallas,argentina,austria,
44,GROUP,J,2,2026-06-22,san-francisco-bay-area,jordan,algeria,
45,GROUP,L,2,2026-06-23,boston,england,ghana,
46,GROUP,L,2,2026-06-23,toronto,panama,croatia,
47,GROUP,K,2,2026-06-23,houston,portugal,uzbekistan,
48,GROUP,K,2,2026-06-23,guadalajara,colombia,congo-dr,
49,GROUP,C,3,2026-06-24,miami,scotland,brazil,GROUP_C_FINAL
50,GROUP,C,3,2026-06-24,atlanta,morocco,haiti,GROUP_C_FINAL
51,GROUP,B,3,2026-06-24,vancouver,switzerland,canada,GROUP_B_FINAL
52,GROUP,B,3,2026-06-24,seattle,bosnia-and-herzegovina,qatar,GROUP_B_FINAL
53,GROUP,A,3,2026-06-24,mexico-city,czechia,mexico,GROUP_A_FINAL
54,GROUP,A,3,2026-06-24,monterrey,south-africa,korea-republic,GROUP_A_FINAL
55,GROUP,E,3,2026-06-25,philadelphia,curacao,cote-divoire,GROUP_E_FINAL
56,GROUP,E,3,2026-06-25,new-york-new-jersey,ecuador,germany,GROUP_E_FINAL
57,GROUP,F,3,2026-06-25,dallas,japan,sweden,GROUP_F_FINAL
58,GROUP,F,3,2026-06-25,kansas-city,tunisia,netherlands,GROUP_F_FINAL
59,GROUP,D,3,2026-06-25,los-angeles,turkiye,united-states,GROUP_D_FINAL
60,GROUP,D,3,2026-06-25,san-francisco-bay-area,paraguay,australia,GROUP_D_FINAL
61,GROUP,I,3,2026-06-26,boston,norway,france,GROUP_I_FINAL
62,GROUP,I,3,2026-06-26,toronto,senegal,iraq,GROUP_I_FINAL
63,GROUP,G,3,2026-06-26,seattle,egypt,iran,GROUP_G_FINAL
64,GROUP,G,3,2026-06-26,vancouver,new-zealand,belgium,GROUP_G_FINAL
65,GROUP,H,3,2026-06-26,houston,cabo-verde,saudi-arabia,GROUP_H_FINAL
66,GROUP,H,3,2026-06-26,guadalajara,uruguay,spain,GROUP_H_FINAL
67,GROUP,L,3,2026-06-27,new-york-new-jersey,panama,england,GROUP_L_FINAL
68,GROUP,L,3,2026-06-27,philadelphia,croatia,ghana,GROUP_L_FINAL
69,GROUP,J,3,2026-06-27,kansas-city,algeria,austria,GROUP_J_FINAL
70,GROUP,J,3,2026-06-27,dallas,jordan,argentina,GROUP_J_FINAL
71,GROUP,K,3,2026-06-27,miami,colombia,portugal,GROUP_K_FINAL
72,GROUP,K,3,2026-06-27,atlanta,congo-dr,uzbekistan,GROUP_K_FINAL
